CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
164810416,01/01/2010,20:00:00,01/01/2010,20:10:00,34,01/01/2010,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,005,426","254,690",,,,,40.865722681,-73.923440887,"(40.865722681, -73.923440887)",PATROL BORO MAN NORTH,,65+,BLACK HISPANIC,F
195577431,01/01/2010,17:15:00,01/01/2010,17:45:00,61,01/01/2010,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"998,054","150,010",,,,,40.578416273,-73.950308588,"(40.578416273, -73.950308588)",PATROL BORO BKLYN SOUTH,,45-64,WHITE,M
475493090,01/01/2010,21:55:00,,,46,01/01/2010,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,011,653","251,798",,,,,40.857767884,-73.900939379,"(40.857767884, -73.900939379)",PATROL BORO BRONX,,,UNKNOWN,E
542236801,01/01/2010,18:35:00,01/01/2010,18:45:00,77,01/01/2010,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"991,753","187,169",,,,,40.680417464,-73.972950175,"(40.680417464, -73.972950175)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
922876617,01/01/2010,00:01:00,11/17/2010,13:00:00,104,11/22/2010,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,FACTORY/WAREHOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,011,922","192,430",,,,,40.694817625,-73.900211421,"(40.694817625, -73.900211421)",PATROL BORO QUEENS NORTH,,,UNKNOWN,D
874647780,01/01/2010,14:00:00,01/01/2010,14:30:00,102,01/01/2010,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,033,226","190,964",45-64,AMERICAN INDIAN/ALASKAN NATIVE,M,,40.690701548,-73.823396329,"(40.690701548, -73.823396329)",PATROL BORO QUEENS SOUTH,,25-44,AMERICAN INDIAN/ALASKAN NATIVE,F
579398273,01/01/2010,17:15:00,01/01/2010,17:25:00,66,01/01/2010,109,GRAND LARCENY,419,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"991,646","163,900",,,,,40.616549184,-73.973361462,"(40.616549184, -73.973361462)",PATROL BORO BKLYN SOUTH,,65+,WHITE,F
166203310,01/01/2010,09:28:00,,,103,01/12/2010,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,041,377","197,514",25-44,ASIAN / PACIFIC ISLANDER,M,,40.708630864,-73.793948756,"(40.708630864, -73.793948756)",PATROL BORO QUEENS SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,F
156250767,01/01/2010,07:11:00,01/01/2010,07:11:00,10,01/01/2010,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,NA,,NA,"982,670","209,908",,,,,40.742833658,-74.005703308,"(40.742833658, -74.005703308)",PATROL BORO MAN SOUTH,,,UNKNOWN,E
107740849,01/01/2010,21:52:00,01/01/2010,21:58:00,123,01/01/2010,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"917,634","127,685",,,,,40.516899053,-74.239591169,"(40.516899053, -74.239591169)",PATROL BORO STATEN ISLAND,,65+,WHITE,M
356192494,01/01/2010,01:25:00,,,75,01/01/2010,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,PINK,390,"1,021,910","182,503",,,,,40.667533427,-73.86424849,"(40.667533427, -73.86424849)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
